Lead_Source,Country,Age,Gender,Education_Level,Occupation,Industry,Income,Initial_Response,Do_Not_Contact,Total_Calls_Attended,Total_Meetings_Attended,General_Knowledge,Business_Knowledge,Company_Size,Company_Estimated_Revenue,Lead_Quality,Lead_Score
PAID,Canada,54,FEMALE,BACHELOR,SELF-EMPLOYED,RETAIL,137000,POSITIVE,No,5,3,INTERMEDIATE,NOVICE,MEDIUM,9464000,HOT,86
INBOUND,Australia,51,FEMALE,BACHELOR,SELF-EMPLOYED,MANUFACTURING,128000,POSITIVE,No,7,2,NOVICE,INTERMEDIATE,LARGE,5937000,HOT,85
PAID,USA,46,MALE,HIGH SCHOOL,RETIRED,RETAIL,138000,POSITIVE,No,5,3,NOVICE,INTERMEDIATE,LARGE,1764000,HOT,88
INBOUND,USA,56,FEMALE,BACHELOR,RETIRED,RETAIL,124000,POSITIVE,No,5,2,NOVICE,NOVICE,LARGE,6772000,WARM,85
REFERRAL,USA,47,OTHER,HIGH SCHOOL,RETIRED,RETAIL,165000,POSITIVE,No,6,2,NOVICE,NOVICE,LARGE,3751000,HOT,79
INBOUND,Japan,53,FEMALE,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,126000,POSITIVE,No,5,3,INTERMEDIATE,NOVICE,LARGE,4976000,HOT,90
PAID,Australia,54,OTHER,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,121000,POSITIVE,No,5,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,7817000,HOT,76
INBOUND,USA,54,OTHER,BACHELOR,SELF-EMPLOYED,MANUFACTURING,195000,POSITIVE,No,6,2,NOVICE,NOVICE,MEDIUM,1053000,HOT,96
REFERRAL,Australia,50,MALE,BACHELOR,BUSINESSMAN,RETAIL,124000,POSITIVE,No,7,2,INTERMEDIATE,ADVANCED,LARGE,6878000,WARM,80
PAID,Japan,48,FEMALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,176000,POSITIVE,No,7,2,INTERMEDIATE,NOVICE,LARGE,8638000,WARM,84
REFERRAL,Canada,48,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,183000,POSITIVE,No,4,3,NOVICE,NOVICE,MEDIUM,1436000,WARM,79
INBOUND,Canada,54,FEMALE,COLLEGE,BUSINESSMAN,SERVICES,106000,POSITIVE,No,6,2,NOVICE,ADVANCED,LARGE,5885000,HOT,84
REFERRAL,Canada,59,MALE,COLLEGE,BUSINESSMAN,MANUFACTURING,186000,POSITIVE,No,4,3,NOVICE,NOVICE,LARGE,9668000,HOT,99
PAID,Australia,45,MALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,160000,POSITIVE,No,5,2,ADVANCED,NOVICE,MEDIUM,1934000,HOT,96
PAID,USA,46,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,150000,POSITIVE,No,6,2,ADVANCED,NOVICE,MEDIUM,6854000,HOT,92
REFERRAL,UK,58,FEMALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,142000,POSITIVE,No,4,3,INTERMEDIATE,INTERMEDIATE,MEDIUM,5765000,HOT,92
INBOUND,Australia,51,MALE,COLLEGE,BUSINESSMAN,SERVICES,188000,POSITIVE,No,5,3,ADVANCED,ADVANCED,MEDIUM,9927000,HOT,86
REFERRAL,Australia,56,OTHER,HIGH SCHOOL,BUSINESSMAN,RETAIL,129000,POSITIVE,No,4,3,ADVANCED,ADVANCED,LARGE,7455000,HOT,85
PAID,UK,51,MALE,HIGH SCHOOL,RETIRED,RETAIL,160000,POSITIVE,No,7,2,NOVICE,ADVANCED,LARGE,9944000,WARM,78
REFERRAL,Canada,53,MALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,104000,POSITIVE,No,4,2,ADVANCED,NOVICE,MEDIUM,7166000,HOT,91
REFERRAL,Canada,45,MALE,COLLEGE,RETIRED,SERVICES,162000,POSITIVE,No,3,3,NOVICE,INTERMEDIATE,LARGE,7146000,HOT,78
INBOUND,Canada,55,OTHER,BACHELOR,SELF-EMPLOYED,MANUFACTURING,174000,POSITIVE,No,3,3,ADVANCED,ADVANCED,MEDIUM,7942000,HOT,92
INBOUND,Australia,53,MALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,161000,POSITIVE,No,6,3,ADVANCED,NOVICE,LARGE,4889000,WARM,80
REFERRAL,UK,55,FEMALE,COLLEGE,RETIRED,MANUFACTURING,170000,POSITIVE,No,4,3,NOVICE,INTERMEDIATE,MEDIUM,2354000,HOT,80
INBOUND,UK,46,OTHER,HIGH SCHOOL,RETIRED,RETAIL,179000,POSITIVE,No,4,2,INTERMEDIATE,INTERMEDIATE,MEDIUM,4918000,WARM,80
INBOUND,Canada,51,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,191000,POSITIVE,No,5,2,ADVANCED,INTERMEDIATE,MEDIUM,5378000,HOT,96
PAID,Australia,52,FEMALE,BACHELOR,RETIRED,MANUFACTURING,172000,POSITIVE,No,3,3,ADVANCED,ADVANCED,MEDIUM,4688000,HOT,87
PAID,USA,53,MALE,HIGH SCHOOL,RETIRED,RETAIL,127000,POSITIVE,No,6,3,INTERMEDIATE,INTERMEDIATE,LARGE,1579000,HOT,95
PAID,Canada,50,FEMALE,COLLEGE,BUSINESSMAN,SERVICES,126000,POSITIVE,No,7,3,NOVICE,NOVICE,MEDIUM,6853000,WARM,76
REFERRAL,UK,50,FEMALE,BACHELOR,BUSINESSMAN,SERVICES,112000,POSITIVE,No,4,2,ADVANCED,INTERMEDIATE,LARGE,5013000,HOT,95
REFERRAL,Australia,59,MALE,COLLEGE,SELF-EMPLOYED,SERVICES,168000,POSITIVE,No,5,3,INTERMEDIATE,ADVANCED,LARGE,7953000,HOT,91
INBOUND,Canada,48,OTHER,COLLEGE,BUSINESSMAN,MANUFACTURING,105000,POSITIVE,No,6,3,INTERMEDIATE,ADVANCED,LARGE,1545000,HOT,94
REFERRAL,Australia,58,OTHER,BACHELOR,RETIRED,MANUFACTURING,141000,POSITIVE,No,5,3,ADVANCED,INTERMEDIATE,MEDIUM,5449000,HOT,94
PAID,Japan,45,OTHER,BACHELOR,BUSINESSMAN,SERVICES,176000,POSITIVE,No,3,3,NOVICE,ADVANCED,MEDIUM,9676000,HOT,90
INBOUND,UK,46,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,121000,POSITIVE,No,5,3,INTERMEDIATE,NOVICE,MEDIUM,3638000,HOT,94
INBOUND,Australia,55,FEMALE,BACHELOR,BUSINESSMAN,RETAIL,164000,POSITIVE,No,4,2,ADVANCED,INTERMEDIATE,MEDIUM,1024000,WARM,78
PAID,Japan,47,FEMALE,HIGH SCHOOL,RETIRED,SERVICES,186000,POSITIVE,No,5,2,INTERMEDIATE,ADVANCED,LARGE,2587000,HOT,96
REFERRAL,Japan,54,FEMALE,HIGH SCHOOL,RETIRED,RETAIL,105000,POSITIVE,No,4,3,INTERMEDIATE,INTERMEDIATE,LARGE,4902000,HOT,91
PAID,USA,46,FEMALE,BACHELOR,SELF-EMPLOYED,SERVICES,129000,POSITIVE,No,7,2,NOVICE,ADVANCED,MEDIUM,6103000,HOT,87
PAID,Australia,50,FEMALE,COLLEGE,BUSINESSMAN,SERVICES,164000,POSITIVE,No,7,2,ADVANCED,NOVICE,MEDIUM,2466000,WARM,81
INBOUND,Canada,56,FEMALE,BACHELOR,BUSINESSMAN,SERVICES,121000,POSITIVE,No,3,3,ADVANCED,NOVICE,MEDIUM,6214000,HOT,96
INBOUND,UK,51,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,182000,POSITIVE,No,4,3,INTERMEDIATE,ADVANCED,MEDIUM,8028000,HOT,96
REFERRAL,Australia,51,MALE,COLLEGE,SELF-EMPLOYED,SERVICES,180000,POSITIVE,No,3,2,NOVICE,NOVICE,MEDIUM,3799000,HOT,97
PAID,USA,57,OTHER,COLLEGE,SELF-EMPLOYED,SERVICES,115000,POSITIVE,No,3,3,ADVANCED,INTERMEDIATE,MEDIUM,1547000,WARM,79
REFERRAL,Japan,47,OTHER,BACHELOR,RETIRED,MANUFACTURING,141000,POSITIVE,No,5,2,INTERMEDIATE,ADVANCED,MEDIUM,9499000,HOT,76
PAID,Australia,46,OTHER,BACHELOR,BUSINESSMAN,SERVICES,131000,POSITIVE,No,4,2,INTERMEDIATE,INTERMEDIATE,LARGE,8587000,WARM,75
INBOUND,Japan,56,MALE,COLLEGE,SELF-EMPLOYED,SERVICES,177000,POSITIVE,No,5,2,INTERMEDIATE,NOVICE,MEDIUM,1458000,HOT,78
REFERRAL,Japan,57,FEMALE,COLLEGE,RETIRED,SERVICES,128000,POSITIVE,No,3,2,ADVANCED,INTERMEDIATE,MEDIUM,8607000,HOT,81
REFERRAL,Japan,57,FEMALE,BACHELOR,BUSINESSMAN,RETAIL,146000,POSITIVE,No,7,3,INTERMEDIATE,NOVICE,LARGE,3588000,HOT,87
INBOUND,Japan,59,OTHER,COLLEGE,SELF-EMPLOYED,MANUFACTURING,187000,POSITIVE,No,7,2,INTERMEDIATE,ADVANCED,MEDIUM,9328000,HOT,97
INBOUND,Japan,55,MALE,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,160000,POSITIVE,No,5,2,INTERMEDIATE,NOVICE,MEDIUM,3475000,HOT,91
REFERRAL,Canada,46,OTHER,BACHELOR,RETIRED,MANUFACTURING,197000,POSITIVE,No,6,3,INTERMEDIATE,ADVANCED,MEDIUM,3327000,HOT,91
PAID,Japan,47,FEMALE,BACHELOR,RETIRED,MANUFACTURING,127000,POSITIVE,No,7,3,NOVICE,NOVICE,LARGE,7974000,WARM,80
INBOUND,USA,46,MALE,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,191000,POSITIVE,No,5,2,NOVICE,INTERMEDIATE,MEDIUM,4557000,HOT,92
REFERRAL,UK,54,MALE,HIGH SCHOOL,BUSINESSMAN,RETAIL,107000,POSITIVE,No,5,2,NOVICE,NOVICE,MEDIUM,3194000,HOT,95
