Lead_Source,Country,Age,Gender,Education_Level,Occupation,Industry,Income,Initial_Response,Do_Not_Contact,Total_Calls_Attended,Total_Meetings_Attended,General_Knowledge,Business_Knowledge,Company_Size,Company_Estimated_Revenue,Lead_Quality,Lead_Score
INBOUND,Japan,49,OTHER,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,128000,POSITIVE,No,3,2,NOVICE,INTERMEDIATE,MEDIUM,7061000,HOT,93
PAID,Canada,59,FEMALE,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,166000,NEUTRAL,No,4,3,ADVANCED,NOVICE,LARGE,5967000,HOT,82
INBOUND,Australia,48,OTHER,COLLEGE,SELF-EMPLOYED,MANUFACTURING,130000,POSITIVE,No,4,3,ADVANCED,INTERMEDIATE,MEDIUM,4757000,HOT,93
INBOUND,Japan,54,MALE,COLLEGE,SELF-EMPLOYED,RETAIL,198000,POSITIVE,No,4,3,NOVICE,NOVICE,MEDIUM,7574000,HOT,99
PAID,UK,35,MALE,BACHELOR,BUSINESSMAN,MANUFACTURING,165000,POSITIVE,No,7,3,NOVICE,NOVICE,MEDIUM,8363000,HOT,81
PAID,Australia,35,OTHER,HIGH SCHOOL,BUSINESSMAN,RETAIL,133000,NEUTRAL,No,6,2,ADVANCED,ADVANCED,MEDIUM,2918000,HOT,75
PAID,UK,37,FEMALE,COLLEGE,SELF-EMPLOYED,SERVICES,191000,POSITIVE,No,7,2,ADVANCED,INTERMEDIATE,LARGE,5438000,HOT,96
REFERRAL,Canada,42,MALE,HIGH SCHOOL,RETIRED,SERVICES,133000,POSITIVE,No,5,2,ADVANCED,NOVICE,MEDIUM,1271000,HOT,88
PAID,USA,46,FEMALE,COLLEGE,RETIRED,RETAIL,153000,POSITIVE,No,7,2,ADVANCED,ADVANCED,MEDIUM,8383000,HOT,96
PAID,UK,37,MALE,BACHELOR,BUSINESSMAN,MANUFACTURING,187000,NEUTRAL,No,7,3,INTERMEDIATE,NOVICE,LARGE,5834000,HOT,76
REFERRAL,UK,52,OTHER,COLLEGE,SELF-EMPLOYED,SERVICES,151000,POSITIVE,No,4,3,ADVANCED,NOVICE,MEDIUM,9247000,WARM,77
INBOUND,Canada,53,FEMALE,BACHELOR,RETIRED,RETAIL,171000,POSITIVE,No,7,3,NOVICE,ADVANCED,MEDIUM,1576000,HOT,87
REFERRAL,Canada,56,MALE,HIGH SCHOOL,RETIRED,SERVICES,128000,POSITIVE,No,4,3,INTERMEDIATE,NOVICE,MEDIUM,6897000,HOT,99
INBOUND,UK,43,MALE,COLLEGE,RETIRED,SERVICES,131000,POSITIVE,No,7,2,INTERMEDIATE,NOVICE,MEDIUM,5925000,HOT,86
INBOUND,Japan,53,MALE,COLLEGE,SELF-EMPLOYED,MANUFACTURING,113000,POSITIVE,No,6,2,NOVICE,ADVANCED,MEDIUM,3331000,WARM,85
PAID,USA,57,OTHER,BACHELOR,BUSINESSMAN,SERVICES,199000,POSITIVE,No,4,3,INTERMEDIATE,INTERMEDIATE,LARGE,3881000,HOT,89
PAID,Japan,37,OTHER,COLLEGE,SELF-EMPLOYED,SERVICES,113000,POSITIVE,No,5,2,INTERMEDIATE,ADVANCED,LARGE,7563000,HOT,89
REFERRAL,Canada,42,OTHER,COLLEGE,RETIRED,SERVICES,161000,POSITIVE,No,7,2,INTERMEDIATE,NOVICE,MEDIUM,8736000,HOT,92
INBOUND,Japan,37,MALE,HIGH SCHOOL,BUSINESSMAN,MANUFACTURING,153000,POSITIVE,No,3,3,NOVICE,NOVICE,LARGE,2577000,HOT,75
REFERRAL,Japan,45,MALE,COLLEGE,BUSINESSMAN,SERVICES,154000,POSITIVE,No,4,3,INTERMEDIATE,INTERMEDIATE,LARGE,8214000,WARM,78
INBOUND,Canada,57,FEMALE,COLLEGE,RETIRED,SERVICES,105000,POSITIVE,No,3,3,NOVICE,INTERMEDIATE,LARGE,3784000,HOT,94
INBOUND,UK,54,OTHER,BACHELOR,RETIRED,SERVICES,110000,POSITIVE,No,4,3,NOVICE,INTERMEDIATE,LARGE,2411000,HOT,93
INBOUND,Canada,59,MALE,BACHELOR,BUSINESSMAN,MANUFACTURING,133000,POSITIVE,No,3,3,INTERMEDIATE,INTERMEDIATE,LARGE,7768000,HOT,99
INBOUND,USA,44,MALE,COLLEGE,SELF-EMPLOYED,RETAIL,151000,NEUTRAL,No,4,2,ADVANCED,INTERMEDIATE,MEDIUM,2553000,WARM,85
PAID,USA,43,FEMALE,HIGH SCHOOL,RETIRED,RETAIL,180000,NEUTRAL,No,3,3,INTERMEDIATE,ADVANCED,LARGE,8936000,WARM,84
INBOUND,UK,37,OTHER,HIGH SCHOOL,SELF-EMPLOYED,RETAIL,118000,NEUTRAL,No,5,3,ADVANCED,INTERMEDIATE,LARGE,1757000,HOT,85
INBOUND,Canada,49,OTHER,COLLEGE,RETIRED,SERVICES,199000,POSITIVE,No,5,3,NOVICE,NOVICE,MEDIUM,4779000,HOT,93
INBOUND,USA,53,FEMALE,COLLEGE,SELF-EMPLOYED,SERVICES,181000,POSITIVE,No,5,2,ADVANCED,NOVICE,MEDIUM,4643000,HOT,97
INBOUND,USA,48,OTHER,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,106000,POSITIVE,No,5,2,ADVANCED,INTERMEDIATE,LARGE,8571000,HOT,92
INBOUND,USA,37,OTHER,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,169000,NEUTRAL,No,4,3,INTERMEDIATE,NOVICE,LARGE,4887000,WARM,76
INBOUND,Japan,58,FEMALE,COLLEGE,BUSINESSMAN,SERVICES,145000,POSITIVE,No,3,2,ADVANCED,NOVICE,MEDIUM,3918000,HOT,95
PAID,Canada,53,FEMALE,HIGH SCHOOL,BUSINESSMAN,SERVICES,196000,POSITIVE,No,7,2,ADVANCED,ADVANCED,LARGE,8335000,HOT,88
PAID,UK,41,MALE,BACHELOR,RETIRED,SERVICES,104000,POSITIVE,No,7,2,ADVANCED,ADVANCED,MEDIUM,9712000,HOT,91
INBOUND,Canada,59,MALE,BACHELOR,BUSINESSMAN,SERVICES,116000,POSITIVE,No,7,3,NOVICE,ADVANCED,MEDIUM,9294000,HOT,86
INBOUND,Australia,40,MALE,BACHELOR,RETIRED,RETAIL,183000,POSITIVE,No,7,2,ADVANCED,INTERMEDIATE,MEDIUM,6927000,HOT,89
PAID,USA,47,OTHER,HIGH SCHOOL,SELF-EMPLOYED,SERVICES,176000,POSITIVE,No,6,3,INTERMEDIATE,INTERMEDIATE,LARGE,7243000,WARM,82
PAID,Australia,50,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,193000,POSITIVE,No,6,3,NOVICE,NOVICE,LARGE,1629000,WARM,81
INBOUND,Canada,42,MALE,COLLEGE,RETIRED,SERVICES,169000,POSITIVE,No,7,2,NOVICE,INTERMEDIATE,LARGE,1429000,HOT,95
PAID,USA,43,FEMALE,BACHELOR,RETIRED,SERVICES,121000,NEUTRAL,No,5,3,NOVICE,ADVANCED,LARGE,2826000,HOT,78
PAID,UK,51,MALE,COLLEGE,BUSINESSMAN,MANUFACTURING,195000,NEUTRAL,No,7,2,NOVICE,ADVANCED,LARGE,6108000,WARM,81
PAID,UK,43,OTHER,HIGH SCHOOL,SELF-EMPLOYED,MANUFACTURING,198000,POSITIVE,No,3,3,ADVANCED,INTERMEDIATE,MEDIUM,1054000,HOT,94
INBOUND,UK,49,FEMALE,COLLEGE,SELF-EMPLOYED,RETAIL,130000,POSITIVE,No,4,2,NOVICE,INTERMEDIATE,MEDIUM,4600000,HOT,96
PAID,Japan,49,MALE,HIGH SCHOOL,BUSINESSMAN,RETAIL,167000,POSITIVE,No,5,3,NOVICE,INTERMEDIATE,MEDIUM,4420000,HOT,77
INBOUND,USA,54,FEMALE,COLLEGE,BUSINESSMAN,RETAIL,101000,POSITIVE,No,6,3,NOVICE,ADVANCED,LARGE,8235000,HOT,93
REFERRAL,Canada,36,OTHER,BACHELOR,BUSINESSMAN,MANUFACTURING,183000,POSITIVE,No,6,3,ADVANCED,NOVICE,LARGE,2957000,HOT,96
